bill_id	bill_type	congress	introduced_at	bill_number	sponsor_SGID
hres1034-115	hres	115	2018-07-26	1034	1624
hres993-115	hres	115	2018-07-16	993	1449
hres239-115	hres	115	2017-04-03	239	347
hres408-115	hres	115	2017-06-26	408	608
hres260-115	hres	115	2017-04-06	260	1613
hres1169-115	hres	115	2018-12-06	1169	1728
hres112-115	hres	115	2017-02-09	112	1543
hres671-115	hres	115	2017-12-21	671	1560
hres887-115	hres	115	2018-05-10	887	1911
hres1040-115	hres	115	2018-07-31	1040	1995
hres362-115	hres	115	2017-05-25	362	1960
hres423-115	hres	115	2017-06-29	423	1887
hres916-115	hres	115	2018-05-25	916	1468
hres437-115	hres	115	2017-07-12	437	282
hres940-115	hres	115	2018-06-13	940	1319
hres83-115	hres	115	2017-02-02	83	1819
hres794-115	hres	115	2018-03-21	794	1706
hres154-115	hres	115	2017-02-27	154	1941
hres182-115	hres	115	2017-03-08	182	1551
hres304-115	hres	115	2017-05-02	304	1588
hres46-115	hres	115	2017-01-12	46	1424
hres402-115	hres	115	2017-06-22	402	1473
hres1091-115	hres	115	2018-09-27	1091	187
hres1087-115	hres	115	2018-09-26	1087	1980
hres915-115	hres	115	2018-05-25	915	1297
hres699-115	hres	115	2018-01-18	699	1629
hres62-115	hres	115	2017-01-24	62	1913
hres129-115	hres	115	2017-02-15	129	608
hres277-115	hres	115	2017-04-25	277	1797
hres774-115	hres	115	2018-03-13	774	1698
hres393-115	hres	115	2017-06-20	393	515
hres359-115	hres	115	2017-05-25	359	1683
hres438-115	hres	115	2017-07-12	438	1344
hres864-115	hres	115	2018-04-27	864	1473
hres1086-115	hres	115	2018-09-26	1086	1777
hres497-115	hres	115	2017-08-18	497	705
hres137-115	hres	115	2017-02-16	137	1758
hres800-115	hres	115	2018-03-22	800	233
hres559-115	hres	115	2017-10-05	559	1295
hres23-115	hres	115	2017-01-05	23	934
hres1069-115	hres	115	2018-09-13	1069	1812
hres660-115	hres	115	2017-12-12	660	1801
hres26-115	hres	115	2017-01-05	26	1936
hres566-115	hres	115	2017-10-10	566	1626
hres1078-115	hres	115	2018-09-25	1078	1449
hres57-115	hres	115	2017-01-24	57	1520
hres980-115	hres	115	2018-07-03	980	1631
hres618-115	hres	115	2017-11-13	618	1839
hres214-115	hres	115	2017-03-21	214	1507
hres446-115	hres	115	2017-07-14	446	1935
hres90-115	hres	115	2017-02-03	90	1801
hres1118-115	hres	115	2018-10-05	1118	1718
hres300-115	hres	115	2017-05-01	300	1613
hres977-115	hres	115	2018-06-28	977	1615
hres943-115	hres	115	2018-06-14	943	1319
hres111-115	hres	115	2017-02-09	111	854
hres47-115	hres	115	2017-01-12	47	1751
hres371-115	hres	115	2017-05-26	371	604
hres713-115	hres	115	2018-01-25	713	1569
hres661-115	hres	115	2017-12-12	661	1801
hres1129-115	hres	115	2018-10-19	1129	1520
hres1032-115	hres	115	2018-07-25	1032	1406
hres650-115	hres	115	2017-12-07	650	1468
hres651-115	hres	115	2017-12-07	651	347
hres744-115	hres	115	2018-02-16	744	1835
hres435-115	hres	115	2017-07-11	435	1316
hres315-115	hres	115	2017-05-04	315	604
hres336-115	hres	115	2017-05-18	336	347
hres1038-115	hres	115	2018-07-26	1038	1835
hres310-115	hres	115	2017-05-03	310	1846
hres1102-115	hres	115	2018-09-28	1102	1907
hres867-115	hres	115	2018-05-01	867	1612
hres514-115	hres	115	2017-09-13	514	1579
hres297-115	hres	115	2017-04-28	297	1830
hres145-115	hres	115	2017-02-16	145	1995
hres117-115	hres	115	2017-02-13	117	1671
hres1097-115	hres	115	2018-09-27	1097	1981
hres193-115	hres	115	2017-03-10	193	1946
hres38-115	hres	115	2017-01-10	38	1671
hres1144-115	hres	115	2018-11-13	1144	187
hres987-115	hres	115	2018-07-11	987	1385
hres998-115	hres	115	2018-07-16	998	1612
hres419-115	hres	115	2017-06-28	419	1542
hres675-115	hres	115	2018-01-03	675	1877
hres1150-115	hres	115	2018-11-16	1150	1919
hres343-115	hres	115	2017-05-18	343	871
hres207-115	hres	115	2017-03-17	207	1728
hres403-115	hres	115	2017-06-22	403	1473
hres868-115	hres	115	2018-05-03	868	1882
hres349-115	hres	115	2017-05-22	349	1977
hres870-115	hres	115	2018-05-03	870	1720
hres1153-115	hres	115	2018-11-16	1153	640
hres270-115	hres	115	2017-04-06	270	1001
hres1133-115	hres	115	2018-10-26	1133	1907
hres976-115	hres	115	2018-06-28	976	1078
hres187-115	hres	115	2017-03-09	187	1699
hres654-115	hres	115	2017-12-07	654	1657
hres752-115	hres	115	2018-02-27	752	1078
hres296-115	hres	115	2017-04-28	296	1793
hres665-115	hres	115	2017-12-15	665	1629
hres972-115	hres	115	2018-06-28	972	1542
hres1065-115	hres	115	2018-09-13	1065	1579
hres1092-115	hres	115	2018-09-27	1092	1502
hres61-115	hres	115	2017-01-24	61	1908
hres1061-115	hres	115	2018-09-12	1061	604
hres720-115	hres	115	2018-01-30	720	1605
hres858-115	hres	115	2018-04-27	858	1850
hres1120-115	hres	115	2018-10-05	1120	1626
hres852-115	hres	115	2018-04-26	852	1791
hres490-115	hres	115	2017-07-28	490	284
hres293-115	hres	115	2017-04-28	293	1801
hres803-115	hres	115	2018-03-22	803	1651
hres808-115	hres	115	2018-03-29	808	1832
hres722-115	hres	115	2018-02-02	722	1007
hres845-115	hres	115	2018-04-25	845	1850
hres576-115	hres	115	2017-10-23	576	1541
hres320-115	hres	115	2017-05-11	320	1495
hres874-115	hres	115	2018-05-07	874	640
hres68-115	hres	115	2017-01-27	68	515
hres208-115	hres	115	2017-03-17	208	1799
